,X,Y,Z
1,0.0071895428848718357,-0.071828246116638184,-0.14953057109313761
2,-0.00023020628570646906,-0.064645417034626007,-0.13756383735214683
3,-0.0024462509698920942,-0.076616793870925903,-0.15671482089213384
4,-0.0095684456107914817,-0.076616793870925903,-0.1543189312280191
5,-0.0047116639055301002,-0.064645417034626007,-0.11840314398832241
6,0.0054166190211099308,-0.071828246116638184,-0.14472971447587035
7,0.0054764062261508928,-0.062251143157482147,-0.15191063496099844
8,-0.0064364577564910708,-0.069433972239494324,-0.1566988119775683
9,-0.0039675324283487412,-0.062251143157482147,-0.14951423673750242
10,0.0079481983586509597,-0.059856869280338287,-0.14233228002312259
11,0.017526619066475763,-0.074222519993782043,-0.16148680203766652
12,0.0032295088947505435,-0.062251143157482147,-0.15669702584752265
13,0.034591740209874045,-0.064645417034626007,-0.14711451445226764
14,0.0080316609289451946,-0.079011067748069763,-0.14711900119827348
15,0.01240649912638489,-0.071828246116638184,-0.15909878333698835
16,0.00014022242867056667,-0.062251143157482147,-0.15431629650024625
17,0.004926772685410058,-0.081405341625213623,-0.14234486281930181
18,0.011716882267741313,-0.079011067748069763,-0.13516964658053077
19,0.0045962176694195056,-0.079011067748069763,-0.16868910232735423
20,-0.0050789404995525422,-0.086193889379501343,-0.12319984429750264
21,0.013967446142581774,-0.069433972239494324,-0.1136242473061877
22,-0.0032743360923011555,-0.0885881707072258,-0.15194200515470335
23,-0.00092991771592620953,-0.069433972239494324,-0.15433767473446558
24,0.0063115500044236272,-0.069433972239494324,-0.13757663374784279
25,0.006323374843428986,-0.076616793870925903,-0.14236479683270531
26,0.011038406034220349,-0.062251143157482147,-0.14236626171671496
27,-0.0013601079956961637,-0.062251143157482147,-0.12561488961718226
28,-0.0038526640078875574,-0.064645417034626007,-0.14477139147960116
29,0.012845013259804805,-0.055068321526050568,-0.13519487673919528
30,0.0151209291091981,-0.071828246116638184,-0.14238030182849926
31,-0.0045077935159510418,-0.079011067748069763,-0.13760131112199758
32,0.0052484003051417594,-0.086193889379501343,-0.13759776302763704
33,-0.0091744717515383212,-0.095770992338657379,-0.15914716831502851
34,0.00025489940258627275,-0.081405341625213623,-0.13999649926718227
35,-0.011542010505274342,-0.062251143157482147,-0.13520369115654596
36,0.005362313103207561,-0.064645417034626007,-0.15196070084120095
37,-0.001636484990746534,-0.071828246116638184,-0.1495633270936505
38,-0.0043776918296834222,-0.067039698362350464,-0.1208388615822642
39,0.0081525015175023807,-0.069433972239494324,-0.13279924624677797
40,0.00791565293841337,-0.067039698362350464,-0.13519767257741933
41,0.0029545290763230703,-0.076616793870925903,-0.14956724622597584
42,0.0054034316564377516,-0.064645417034626007,-0.13759468907909955
43,0.010135186180256994,-0.074222519993782043,-0.15675036410002896
44,-0.0042688592954552573,-0.071828246116638184,-0.14238497563947661
45,0.014545061869700199,-0.059856869280338287,-0.13042024226913007
46,-0.0002794113449966773,-0.059856869280338287,-0.14240078611633677
47,0.0018827405687546483,-0.067039698362350464,-0.17113671265577679
48,-0.012660298829313299,-0.083799615502357483,-0.13043738964364415
